mins,seconds
0,4.2
0,7
0,8.64
0,12.48
0,15
0,15.8
0,18.12
0,21.16
0,22.64
0,24.08
0,26.4
0,28.8
0,30.8
0,32.04
0,33.68
0,36.52
0,38.68
0,39.96
0,41.4
0,44.04
0,46.56
0,48.2
0,49.84
0,55.96
1,3
1,15.52
1,19
1,21.52
1,23.76
1,25.76
1,28.68
1,31.76
1,33.88
1,35.2
1,37.12
1,42.2
1,45.48
1,49
1,50.6
1,52.96
1,54.76
2,5.84
2,10.8
2,11.92
2,16.4
2,19.6
2,22.92
2,24.44
2,26.76
2,29.4
2,43.08
2,45.88
2,47.28
2,50.36
2,51.6
2,54.44
2,55.16
2,57.24
2,58.84
3,0.68
3,3
3,5.4
3,8.6
3,9.8
3,12.8
3,16.08
3,25.12
3,32.08
3,35.2
3,41.64
3,43.88
3,46.44
3,47.84
3,48.88
3,52.2
3,55.28
3,58.4
4,0.8
4,2.2
4,6.44
4,7.56
4,9.16
4,14.48
4,17.52
4,18.92
4,21.8
4,25.04
4,27.04
4,35.6
4,37.72
4,40.32
4,42.48
4,44.28
4,46.88
4,50.68
4,52.4
4,53.56
4,55.64
4,59.08
