mins,seconds
0,1.44
0,3.68
0,8.68
0,10.36
0,12.76
0,13.84
0,15.2
0,17.24
0,19.6
0,24.28
0,25.84
0,27.76
0,31.24
0,33.32
0,34.04
0,36.6
0,37.6
0,40.44
0,41.4
0,42.76
0,44.4
0,45.2
0,47.32
0,47.96
0,50.2
0,50.88
0,52.6
0,53.56
0,54.12
0,55.52
0,56.08
0,57.88
0,59.56
1,0.4
1,1.04
1,2.2
1,2.8
1,4.08
1,4.6
1,6.64
1,7.12
1,8.16
1,9.52
1,10.72
1,12.12
1,13.16
1,15.04
1,16.08
1,17.24
1,18.28
1,19.04
1,19.88
1,20.88
1,22
1,24.12
1,26.32
1,28.24
1,29.72
1,32.52
1,33.28
1,34.08
1,35.4
1,36.4
1,37.52
1,39.56
1,40.48
1,43.92
1,45.68
1,47.24
1,49.04
1,50.4
1,51.08
1,53.44
1,55.04
1,55.88
1,58.48
1,59.44
2,0.52
2,1.12
2,2.2
2,3.32
2,4.8
2,6.52
2,8.44
2,10.68
2,11.44
2,13.64
2,16.24
2,18.8
2,21.64
2,25.04
2,28.12
2,28.8
2,31.52
2,32.12
2,33.04
2,34.08
2,35.96
2,36.64
2,37.84
2,38.32
2,38.88
2,40.08
2,45.12
2,47.04
2,50.28
2,52
2,52.76
2,55.4
2,57
2,57.92
2,58.44
2,59.12
3,2.04
3,3.08
3,6.64
